"time","x","der(x)"
0.438,0.6453263537810288,-0.6453263537810288
0.44,0.6440369862128008,-0.6440369862128008
0.442,0.6427501952446817,-0.6427501952446817
0.444,0.6414659757660621,-0.6414659757660621
0.446,0.6401843226778748,-0.6401843226778748
0.448,0.6389052308925944,-0.6389052308925944
0.45,0.6376286953342375,-0.6376286953342375
0.452,0.6363547063085093,-0.6363547063085093
0.454,0.635083260977631,-0.635083260977631
0.456,0.6338143559636646,-0.6338143559636646
0.458,0.632547986200736,-0.632547986200736
0.46,0.6312841466338109,-0.6312841466338109
0.462,0.6300228322186954,-0.6300228322186954
0.464,0.6287640379220352,-0.6287640379220352
0.466,0.627507758721316,-0.627507758721316
0.468,0.6262539896048641,-0.6262539896048641
0.47,0.6250027255718453,-0.6250027255718453
0.472,0.6237539616322657,-0.6237539616322657
0.474,0.6225076928069714,-0.6225076928069714
0.476,0.6212639141276483,-0.6212639141276483
0.478,0.6200226206368227,-0.6200226206368227
0.48,0.6187838073878608,-0.6187838073878608
0.482,0.6175474694449686,-0.6175474694449686
0.484,0.6163136018831925,-0.6163136018831925
0.486,0.6150821997884189,-0.6150821997884189
0.488,0.6138532582573739,-0.6138532582573739
0.49,0.6126267723976239,-0.6126267723976239
0.492,0.6114027373275753,-0.6114027373275753
0.494,0.6101811481764744,-0.6101811481764744
0.496,0.6089620000844079,-0.6089620000844079
0.498,0.6077452882023022,-0.6077452882023022
0.5,0.6065310076919236,-0.6065310076919236
0.502,0.6053191537258791,-0.6053191537258791
0.504,0.604109721487615,-0.604109721487615
0.506,0.6029027061714179,-0.6029027061714179
0.508,0.6016981029824147,-0.6016981029824147
0.51,0.600495907136572,-0.600495907136572
0.512,0.5992961138606966,-0.5992961138606966
0.514,0.5980987183924349,-0.5980987183924349
0.516,0.5969037159802743,-0.5969037159802743
0.518,0.5957110955387246,-0.5957110955387246
0.52,0.5945208576422961,-0.5945208576422961
0.522,0.5933329978350013,-0.5933329978350013
0.524,0.5921475113716148,-0.5921475113716148
0.526,0.5909643935170328,-0.5909643935170328
0.528,0.5897836395462729,-0.5897836395462729
0.53,0.588605244744474,-0.588605244744474
0.532,0.5874292044068971,-0.5874292044068971
0.534,0.5862555138389248,-0.5862555138389248
0.536,0.5850841683560614,-0.5850841683560614
0.538,0.5839151632839326,-0.5839151632839326
0.54,0.5827484939582855,-0.5827484939582855
0.542,0.5815841557249894,-0.5815841557249894
0.544,0.5804221439400352,-0.5804221439400352
0.546,0.579262453969535,-0.579262453969535
0.548,0.5781050811897229,-0.5781050811897229
0.55,0.5769500209869545,-0.5769500209869545
0.552,0.575797268757707,-0.575797268757707
0.554,0.5746468199085792,-0.5746468199085792
0.556,0.5734986698562917,-0.5734986698562917
0.5580000000000001,0.5723528140276867,-0.5723528140276867
0.5600000000000001,0.5712092478597282,-0.5712092478597282
0.5620000000000001,0.5700679667995011,-0.5700679667995011
0.5639999999999999,0.568928966304213,-0.568928966304213
0.5659999999999999,0.5677922418411923,-0.5677922418411923
0.5679999999999999,0.5666577888878892,-0.5666577888878892
0.57,0.5655256029318763,-0.5655256029318763
0.572,0.5643956794708466,-0.5643956794708466
0.574,0.5632680140126155,-0.5632680140126155
0.576,0.5621426020751202,-0.5621426020751202
0.578,0.5610194391864192,-0.5610194391864192
0.58,0.5598985208846921,-0.5598985208846921
0.582,0.558779841732384,-0.558779841732384
0.584,0.5576633935577117,-0.5576633935577117
0.586,0.5565491760180199,-0.5565491760180199
0.588,0.5554371846614101,-0.5554371846614101
0.59,0.5543274150455041,-0.5543274150455041
0.592,0.5532198627374439,-0.5532198627374439
0.594,0.5521145233138924,-0.5521145233138924
0.596,0.5510113923610319,-0.5510113923610319
0.598,0.5499104654745658,-0.5499104654745658
0.6,0.5488117382597183,-0.5488117382597183
0.602,0.5477152063312328,-0.5477152063312328
0.604,0.5466208653133741,-0.5466208653133741
0.606,0.545528710839927,-0.545528710839927
0.608,0.5444387385541966,-0.5444387385541966
0.61,0.5433509441090087,-0.5433509441090087
0.612,0.5422653231667092,-0.5422653231667092
0.614,0.5411818713991643,-0.5411818713991643
0.616,0.5401005844877611,-0.5401005844877611
0.618,0.5390214581234064,-0.5390214581234064
0.62,0.5379444880065282,-0.5379444880065282
0.622,0.5368696698470741,-0.5368696698470741
0.624,0.5357969993645124,-0.5357969993645124
0.626,0.5347264722878322,-0.5347264722878322
0.628,0.5336580843555422,-0.5336580843555422
0.63,0.532591831315672,-0.532591831315672
0.632,0.5315277089257717,-0.5315277089257717
0.634,0.5304657129529112,-0.5304657129529112
0.636,0.5294058391736816,-0.5294058391736816
0.638,0.5283480833741934,-0.5283480833741934
0.64,0.5272924413500785,-0.5272924413500785
0.642,0.5262389089064886,-0.5262389089064886
0.644,0.5251874818580958,-0.5251874818580958
0.646,0.5241381560290929,-0.5241381560290929
0.648,0.5230909256924398,-0.5230909256924398
0.65,0.5220457857238334,-0.5220457857238334
0.652,0.5210027339969546,-0.5210027339969546
0.654,0.5199617663423165,-0.5199617663423165
0.656,0.5189228785988761,-0.5189228785988761
0.658,0.51788606661402,-0.51788606661402
0.66,0.5168513262435477,-0.5168513262435477
0.662,0.5158186533516561,-0.5158186533516561
0.664,0.5147880438109235,-0.5147880438109235
0.666,0.5137594935022937,-0.5137594935022937
0.668,0.512732998315061,-0.512732998315061
0.67,0.5117085541468529,-0.5117085541468529
0.672,0.5106861569036156,-0.5106861569036156
0.674,0.5096658024995974,-0.5096658024995974
0.676,0.5086474868573333,-0.5086474868573333
0.678,0.5076312059076288,-0.5076312059076288
0.68,0.5066169555895443,-0.5066169555895443
0.6820000000000001,0.5056047318503795,-0.5056047318503795
0.6840000000000001,0.5045945306456568,-0.5045945306456568
0.6860000000000001,0.5035863479391065,-0.5035863479391065
